Gene	Cancer	Corr	Pvalue	FDR	Significance	Pathway	Genes	GeneOrder	GeneOrder2
CDK4	KIRP	0.204270756	0.000252395	0.336442055	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	KIRP	0.097160771	0.083650163	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	KIRP	0.23912316	1.63E-05	0.021754568	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	KIRP	0.220353543	7.71E-05	0.102741606	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	LAML	0.299706579	6.67E-05	0.088882165	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	LAML	0.37430411	4.80E-07	0.00063983	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	LAML	0.50746068	0	0	2	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	LAML	-0.217752664	0.004071682	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	LAML	0.225592419	0.002842642	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	LGG	0.260943806	0.000171836	0.229057102	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	LGG	0.427119746	2.74E-10	3.65E-07	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	LGG	0.179857376	0.0101317	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	LGG	-0.239143126	0.000590971	0.787763919	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	LGG	-0.237275869	0.000653712	0.871398691	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	LIHC	-0.337688031	1.09E-12	1.46E-09	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	LIHC	0.488912654	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	LIHC	-0.090615085	0.063249312	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	LIHC	0.539084007	0	0	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	LIHC	-0.212844704	1.06E-05	0.01411421	2	CellCycle	RB1	5.RB1	13.RB1
CCND1	LUAD	-0.07494525	0.074056313	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	LUAD	0.511606006	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	LUAD	-0.001790169	0.966003586	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	LUAD	0.3007835	3.02E-13	4.02E-10	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	LUAD	-0.307698015	8.06E-14	1.07E-10	2	CellCycle	RB1	5.RB1	13.RB1
CCND1	LUSC	-0.163259733	0.000147579	0.196722527	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	LUSC	0.488755368	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	LUSC	0.15981085	0.000203903	0.271803294	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	LUSC	0.129123264	0.002719422	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	LUSC	0.003406572	0.937225383	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	OV	-0.210951159	0.000208039	0.277315882	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	OV	0.29469226	1.73E-07	0.000230772	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	OV	-0.086243308	0.132200095	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	OV	0.194884601	0.000621283	0.828170094	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	OV	-0.133195334	0.019822605	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	PAAD	0.268662296	0.000593763	0.791485583	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	PAAD	0.031803543	0.688485745	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	PAAD	0.093412123	0.238278664	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	PAAD	0.096069128	0.225144746	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	PAAD	-0.044024615	0.578845282	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	PCPG	-0.040635184	0.581528245	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	PCPG	0.131396016	0.073851712	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	PCPG	0.09284956	0.207493584	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	PCPG	-0.145559912	0.047510867	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	PCPG	0.116974763	0.111779165	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	PRAD	-0.197270208	3.48E-06	0.004634818	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	PRAD	0.409759864	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	PRAD	-0.031409861	0.464189359	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	PRAD	0.141835411	0.000908479	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	PRAD	-0.126168657	0.003192079	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	SARC	-0.1554957	0.012122909	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	SARC	-0.037159175	0.550604689	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	SARC	-0.097276815	0.117610163	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	SARC	0.143083819	0.021074075	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	SARC	-0.175976431	0.00447321	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	SKCM	0.01182465	0.797493432	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	SKCM	0.277018538	1.04E-09	1.39E-06	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	SKCM	0.242442575	1.03E-07	0.000137105	2	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	SKCM	0.081651285	0.076059065	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	SKCM	0.157157616	0.000603031	0.803839915	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	STAD	0.285507946	1.51E-09	2.01E-06	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	STAD	0.42557601	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	STAD	0.26718895	1.46E-08	1.94E-05	2	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	STAD	0.153843793	0.001286192	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	STAD	0.217857513	4.65E-06	0.006202856	2	CellCycle	RB1	5.RB1	13.RB1
CCND1	TGCT	-0.364316329	3.71E-06	0.004945999	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	TGCT	0.214211595	0.007539618	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	TGCT	-0.119061584	0.139944907	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	TGCT	-0.447491218	7.76E-09	1.03E-05	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	TGCT	-0.650562341	0	0	2	CellCycle	RB1	5.RB1	13.RB1
CCND1	THCA	0.147778737	0.000414761	0.552876378	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	THCA	0.24708226	2.47E-09	3.30E-06	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	THCA	-0.125458944	0.002783007	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	THCA	0.29903528	4.60E-13	6.14E-10	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	THCA	0.298361763	4.02E-13	5.37E-10	2	CellCycle	RB1	5.RB1	13.RB1
CCND1	THYM	-0.679123392	0	0	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	THYM	0.512849406	2.45E-09	3.27E-06	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	THYM	0.843877325	0	0	2	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	THYM	0.152702555	0.093108653	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	THYM	0.046312054	0.61201476	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	UCEC	0.007359517	0.91797334	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	UCEC	0.507952004	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	UCEC	-0.144960304	0.041662482	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	UCEC	0.244767137	0.000528744	0.704815733	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	UCEC	-0.092758053	0.193510477	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	UCS	-0.18784029	0.161378694	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	UCS	0.287399533	0.030537962	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	UCS	0.157246565	0.24202549	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	UCS	-0.010500389	0.938195615	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	UCS	-0.251555613	0.059308883	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	UVM	-0.108415377	0.337722066	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	UVM	-0.161673699	0.151683994	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	UVM	0.334974215	0.002507456	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	UVM	-0.171753399	0.127512986	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	UVM	0.260267229	0.019970171	1	NA	CellCycle	RB1	5.RB1	13.RB1
FAT1	ACC	0.167237825	0.143115307	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	ACC	0.014378027	0.900423715	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	ACC	0.180844472	0.112992666	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	BLCA	-0.133322298	0.006062085	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	BLCA	0.103828601	0.032809141	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	BLCA	-0.253646143	1.37E-07	0.000182324	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	BRCA	-0.20500404	9.72E-13	1.30E-09	2	Hippo	FAT1	6.FAT1	14.FAT1
NF2	BRCA	0.017458044	0.547743194	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	BRCA	-0.326826898	5.70E-31	7.59E-28	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	CESC	-0.043263318	0.450601382	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	CESC	0.065755327	0.25131635	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	CESC	-0.005550757	0.922920582	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	CHOL	0.066534914	0.663171434	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	CHOL	0.510144928	0.000412054	0.549268005	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	CHOL	0.061528327	0.687180029	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	CRC	0.060086307	0.220694659	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	CRC	0.192241504	7.79E-05	0.103823617	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	CRC	0.00585095	0.905139113	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	DLBC	-0.105514546	0.474177086	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	DLBC	-0.004559271	0.975660791	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	DLBC	-0.170538428	0.245671426	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	ESCA	0.015126729	0.834466196	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	ESCA	0.141780955	0.049268483	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	ESCA	-0.134825196	0.06160854	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	GBM	0.215467411	0.004369794	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	GBM	0.005049119	0.947236731	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	GBM	-0.017965204	0.813808459	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	HNSC	-0.053398927	0.20697925	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	HNSC	-0.059668001	0.15850893	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	HNSC	-0.195119586	3.44E-06	0.004586383	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	KICH	-0.234797412	0.026989645	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	KICH	0.360333674	0.000566559	0.755222808	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	KICH	-0.070020429	0.513683124	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	KIRC	-0.005632888	0.891643228	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	KIRC	-0.136047579	0.000960534	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	KIRC	-0.029641205	0.473399817	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	KIRP	0.22879236	3.99E-05	0.053241677	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	KIRP	-0.105262245	0.06083138	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	KIRP	0.052566471	0.349931369	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	LAML	0.146369763	0.054656229	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	LAML	0.324438769	1.49E-05	0.019796434	2	Hippo	NF2	7.NF2	15.NF2
YAP1	LAML	0.11200233	0.142348565	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	LGG	-0.411120287	1.01E-09	1.34E-06	2	Hippo	FAT1	6.FAT1	14.FAT1
NF2	LGG	0.145643186	0.037740479	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	LGG	-0.687379409	0	0	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	LIHC	-0.048823046	0.317471726	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	LIHC	0.318798135	2.74E-11	3.66E-08	2	Hippo	NF2	7.NF2	15.NF2
YAP1	LIHC	-0.113567175	0.019806156	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	LUAD	0.136023104	0.00115388	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	LUAD	-0.009556549	0.820063625	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	LUAD	-0.19806483	2.02E-06	0.002689914	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	LUSC	0.003739403	0.931084318	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	LUSC	0.10086596	0.019391836	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	LUSC	-0.193076847	6.87E-06	0.009161732	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	OV	-0.051420985	0.369827813	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	OV	-0.050996307	0.373797777	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	OV	0.109792416	0.055044313	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	PAAD	0.158704279	0.044436193	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	PAAD	-0.216111686	0.005985588	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	PAAD	0.057404532	0.469089855	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	PCPG	-0.164270429	0.025158228	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	PCPG	-0.25631431	0.000430878	0.574360716	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	PCPG	-0.474727375	6.76E-12	9.01E-09	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	PRAD	0.13254242	0.001929852	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	PRAD	0.105985768	0.013302826	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	PRAD	-0.390762826	0	0	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	SARC	0.011316053	0.855808288	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	SARC	-0.004377853	0.943959244	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	SARC	0.137913966	0.026236861	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	SKCM	-0.077912715	0.09053075	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	SKCM	-0.073655811	0.109633369	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	SKCM	0.089345353	0.052175789	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	STAD	0.11989978	0.012269597	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	STAD	0.130077018	0.00656395	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	STAD	-0.122935345	0.010226918	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	TGCT	-0.252134962	0.00159841	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	TGCT	0.53822629	0	0	2	Hippo	NF2	7.NF2	15.NF2
YAP1	TGCT	-0.276288228	0.000525289	0.700210056	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	THCA	-0.001197079	0.977303283	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	THCA	-0.075286294	0.073254302	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	THCA	0.156569307	0.000184969	0.246563652	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	THYM	-0.647725452	7.43E-16	9.91E-13	2	Hippo	FAT1	6.FAT1	14.FAT1
NF2	THYM	0.353957591	7.06E-05	0.094156093	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	THYM	-0.625591086	0	0	2	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	UCEC	-0.126093473	0.076722593	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	UCEC	0.118949617	0.095080839	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	UCEC	-0.159991621	0.024443773	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	UCS	0.083354939	0.536592842	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	UCS	-0.024630542	0.855410857	1	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	UCS	0.011667099	0.931323052	1	NA	Hippo	YAP1	8.YAP1	16.YAP1
FAT1	UVM	0.337201125	0.002338449	1	NA	Hippo	FAT1	6.FAT1	14.FAT1
NF2	UVM	-0.386310361	0.000441977	0.589155541	NA	Hippo	NF2	7.NF2	15.NF2
YAP1	UVM	0.474753868	1.11E-05	0.014789656	2	Hippo	YAP1	8.YAP1	16.YAP1
MAX	ACC	-0.006917133	0.952045689	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	ACC	0.222802514	0.050101037	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	ACC	0.223712996	0.049152728	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	BLCA	-0.195789201	5.20E-05	0.069313332	NA	Myc	MAX	9.MAX	17.MAX
MGA	BLCA	0.077037842	0.113602748	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	BLCA	0.009071203	0.852369518	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	BRCA	-0.174824464	1.31E-09	1.75E-06	2	Myc	MAX	9.MAX	17.MAX
MGA	BRCA	-0.035138399	0.226191726	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	BRCA	0.008398001	0.772460901	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	CESC	-0.088686253	0.121561306	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	CESC	0.317331273	1.66E-08	2.21E-05	2	Myc	MGA	10.MGA	18.MGA
MYC	CESC	0.165459958	0.003738409	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	CHOL	0.094598155	0.535292742	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	CHOL	0.312911726	0.036817494	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	CHOL	-0.049011858	0.748515118	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	CRC	-0.261983071	6.36E-08	8.47E-05	2	Myc	MAX	9.MAX	17.MAX
MGA	CRC	0.051537349	0.293604656	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	CRC	0.397695498	0	0	2	Myc	MYC	11.MYC	19.MYC
